Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
General Protest,Immigration ban,1.0,195.0,2017-02-04,3,Auburn ,AL
"We the People, Tucson",protest immigration ban,1.0,125.0,2017-02-04,3,Tucson,AZ
general protestors,protest immigration ban and border wall,1.0,7500.0,2017-02-04,3,San Francisco,CA
general protestors,immigration ban,1.0,1000.0,2017-02-04,3,Boulder,CO
general protestors,protest immigration ban,1.0,450.0,2017-02-04,3,Colorado Springs,CO
general protestors,"end the ""Muslim ban""",1.0,6000.0,2017-02-04,3,Denver,CO
general protestors,immigration ban,1.0,2000.0,2017-02-04,3,"Washington, DC",DC
General Protest,immigration ban,1.0,200.0,2017-02-04,3,Miami ,FL
University body,Immigration ban,1.0,200.0,2017-02-04,3,Atlanta ,GA
general protest,immigration ban,1.0,650.0,2017-02-04,3,Moscow,ID
General Protest,Trump's cabinet picks and immigration ban ,1.0,400.0,2017-02-04,3,Annapolis,MD
General Protest,immigration ban,1.0,350.0,2017-02-04,3,Baltimore,MD
General Protest,Immigration ban,1.0,400.0,2017-02-04,3,Flint ,MI
general protestors,protest immigration ban,1.0,150.0,2017-02-04,3,Willmar ,MN
general protestors,immigration ban,1.0,60.0,2017-02-04,3,Charlotte,NC
General Protest ,Immigration ban,1.0,1100.0,2017-02-04,3,Raleigh,NC
LGBTQ NYC Community,immigration ban,1.0,2000.0,2017-02-04,3,New York City ,NY
General Protest ,immigration ban,1.0,200.0,2017-02-04,3,Philadelphia,PA
March for Humanity,immigration ban,1.0,2000.0,2017-02-04,3,Philadelphia,PA
The Islamic Society of Greenville,protest immigration ban,1.0,350.0,2017-02-04,3,Greenville ,SC
General protestors,Protest immigration ban and Trump's policies,1.0,275.0,2017-02-04,3,Houston,TX
general protestors,anti-Trump; protest immigration ban,1.0,3000.0,2017-02-04,3,Salt Lake City,UT
general protesters,"end the ""muslim ban""",1.0,50.0,2017-02-04,3,Rhinelander,WI
general protestors,against the immigration ban ,1.0,600.0,2017-02-05,4,Cedar Falls,IA
Students Against Hate and Discrimination,protest immigration ban,1.0,1300.0,2017-02-05,4,Iowa City,IA
